strategy_id,strategy_name,trending_week,growth_rate,industry,conversion_potential,implementation_difficulty,cost_efficiency,time_to_results,ideal_business_size
10,Strategic Students Engagement via Video,7,-3.3,Construction,2.8,2,1.4,42,Medium
11,Growth-Oriented Blog Series Acquisition Strategy,4,20.6,B2B,1.6,5,2.4,24,Micro
12,Customer-Centric Testimonial Growth Strategy,2,1.0,Media,4.0,4,2.0,22,Large
13,Omnichannel B2B Engagement via Content,1,-4.9,Entertainment,2.3,1,4.8,17,Medium
14,IoT-Powered SMS for Small Business,2,8.3,Technology,4.6,3,3.4,13,Micro
15,CDP-Based Education Marketing,9,8.7,Automotive,3.6,4,1.1,64,Medium
16,AI-Powered Short-term eBook Campaign,9,17.3,Legal,4.2,1,2.8,65,Small
17,Performance-Based Construction Social Media Approach,9,3.4,Travel,1.7,1,3.5,70,Small
18,Long-term TikTok Expansion Campaign,6,5.0,Home Services,3.9,3,4.5,37,Micro
19,Interactive High-Income Engagement via SMS,8,-1.2,Hospitality,4.4,1,4.3,57,Micro
20,30-Day PPC Campaign Campaign,9,9.0,Media,1.2,1,2.7,59,Small
21,High-Converting Scheduled Story Campaign,8,48.9,Luxury,2.8,4,4.4,62,Small
22,ROI-Focused E-commerce Story,9,-7.4,Home Services,1.5,2,2.4,69,Small
23,Integrated Programmatic Integration for Blog,3,12.4,Hospitality,2.3,3,3.8,15,Micro
24,Omnichannel Tutorial Branding Strategy,9,7.0,Fitness,3.3,3,3.9,59,Medium
25,Ongoing Professionals Retention Strategy,9,19.2,B2B,3.8,4,4.9,70,Micro
26,ROI-Focused Finance Live Stream,9,2.5,Legal,1.1,4,2.0,72,Medium
27,Periodic Social Media Outreach Campaign,9,18.8,Food & Beverage,3.7,1,4.6,67,Medium
28,Data-Driven YouTube Branding,5,36.2,Food & Beverage,2.3,1,4.2,40,Large
29,Cost-Effective Finance Content Approach,1,-5.4,Legal,4.3,3,2.0,12,Small
30,AI-Powered Executives Engagement via Organic Social,9,12.4,Education,4.1,2,2.5,72,Small
31,Strategic Evergreen Newsletter Campaign,10,9.8,Home Services,2.3,1,2.2,75,Small
32,Engaging Enterprise Engagement via TikTok,3,3.1,Retail,1.3,5,4.8,14,Medium
33,Data-Driven YouTube Outreach,4,54.2,Beauty,1.1,5,2.9,38,Medium
34,Beauty-Focused Podcast Strategy,5,12.3,Food & Beverage,1.3,3,4.0,32,Large
35,Innovative Automotive Email Approach,4,1.9,Retail,4.5,2,3.9,38,Large
36,Beauty-Focused Affiliate Strategy,7,46.9,Hospitality,1.8,3,2.5,55,Medium
37,Data-Driven PPC Nurturing,11,-5.1,B2B,3.1,1,4.3,86,Micro
38,Dynamic Newsletter Marketing for Professionals,8,57.9,Luxury,3.8,4,4.6,66,Small
39,Education-Focused Affiliate Strategy,12,-5.5,Retail,2.4,4,3.8,82,Micro
40,Personalization-Based Healthcare Marketing,11,2.5,Education,4.2,5,2.4,74,Micro
41,Sustained Small Business Retention Strategy,5,5.4,Professional Services,4.8,4,2.0,37,Small
42,Cost-Effective Interview Marketing for Small Business,5,18.4,Fitness,2.5,5,2.5,43,Small
43,Blockchain-Based Non-Profit Marketing,2,20.6,Real Estate,4.3,3,2.8,10,Large
44,Cross-Platform Tutorial Expansion,1,12.7,Automotive,2.7,4,2.9,9,Micro
45,Evergreen Content Branding Campaign,9,2.3,Education,3.4,3,3.1,55,Small
46,AI-Powered SEO for International,7,17.5,Fitness,4.6,2,4.5,58,Micro
47,Healthcare-Focused TikTok Strategy,7,3.7,Healthcare,4.1,2,1.1,47,Large
48,Technology-Focused Social Media Strategy,3,0.5,Non-Profit,1.0,4,1.6,24,Medium
49,Entertainment-Focused Social Media Strategy,10,14.4,Travel,1.9,3,2.3,74,Small
50,Quarterly International Retention Strategy,12,-1.0,Travel,3.2,2,2.0,84,Large
51,Video Live Stream for Healthcare Businesses,6,24.7,Retail,1.0,3,1.8,50,Small
52,Cost-Effective Retail Video Approach,3,17.3,Technology,1.8,4,4.4,31,Micro
53,Non-Profit-Focused YouTube Strategy,6,4.9,Manufacturing,3.8,4,2.4,41,Medium
54,Periodic Executives Retention Strategy,10,20.4,Finance,4.3,2,2.4,67,Micro
55,ROI-Focused Professional Services Whitepaper,2,2.6,Healthcare,2.8,5,2.7,20,Large
56,Paid Social Q&A for Entertainment Businesses,1,24.6,B2B,4.8,3,3.4,7,Micro
