input_text,target_text
generate description: Hornby 2014 Catalogue,Product Description Hornby 2014 Catalogue Box Contains 1 x one catalogue
generate description: FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke,Size Name:Large FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke
generate description: CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,"BIG CLASSIC TOY TRAIN SET TRACK CARRIAGE LIGHT ENGINE SOUND BOXED KIDS BATTERY Railway Train Set with Light Sound, Big Size Curved Track Free Wheeling Action Working Headlight Sound Horn The Track Can Also Be Assembled In More Layouts Length Of Track 104 cm WIDTH OF THE TRACK 68 CM Finely Detailed Realistic Toy Train REQUIRES 2 AA BATTERIES (NOT INCLUDED)"
generate description: HORNBY Coach R4410A BR Hawksworth Corridor 3rd,Hornby 00 Gauge BR Hawksworth 3rd Class W 2107 W # R4410A
generate description: Hornby 00 Gauge 0-4-0 Gildenlow Salt Co. Steam Locomotive Model,Product Description Hornby RailRoad 0-4-0 Gildenlow Salt Co 00 gauge steam locomotive model. Safety warning: This product is not suitable for children under 3 years because of small parts which could present a choking hazard. Some components have functional sharp edges. Handle with care. Only use this product with the recommended transformer. Made in China. Box Contains 1x Steam Locomotive Model
generate description: 20pcs Model Garden Light Double Heads Lamppost Scale 1:100,"These delicate model garden lights are mainly used in teaching, photography, and various kinds of scene model. Each of them is completed with wires and has double heads, which can be lighten with 6V power. These model lights measure about 7cm high. Light up your model layout with this great model lamppost! Description: A pack of 20pcs model garden lamps Each has double head, completed with wires and bulbs Mainly used to decorate your model layout Voltage: 6V Power: 1 W Height: Approx. 2.76 inch / 7cm Scale: 1:100 Material: Plastic Main Color: Black Note: Each lamp has 4 wires altogether. When you connect these wires with the power, please connect two long wires with one end and connect the rest two short wires with another end. Package Include: 20pcs model garden lights"
generate description: Hornby 00 Gauge 230mm BR Bogie Passenger Brake Coach Model (Red),Product Description Hornby BR bogie passenger brake coach has pristine finish. Livery: BR red livery. Entered Service: 1930. Period: 1950. 230mm coach model length. The truly fascinating and varied range of Hornby coaches offers something for most enthusiasts modelling the various regions and periods of the British rail network. Box Contains 1x Red Bogie Passenger Brake
generate description: Hornby Santa's Express Train Set,"Product Description Inject a bit of Hornby magic into Christmas with the special Santa's Express Train Set. The set includes everything you need to get started, including Santa's festive train, an oval track, power transformer and mat. Whether this is your first train set, or you're a seasoned modeller, Santa's Express will delight young and old alike and is sure to become a festive favourite. - for a spectacular Christmas decoration, build the set around the base of your Christmas tree or use as a moving table centre! - add some Christmas cheer to your existing model railwaySanta's special train includes his very own steam engine, a wagon full of presents and a closed van in which he keeps his reindeer. The spritely little engine, in its colourful livery is more than capable of pulling such an important train around the oval of track included in this set. Additional track packs can be obtained to make the layout larger and even more exciting, and there is even a Hornby MidiMat included so you can see how Santa's Special train set can grow and grow into a truly exciting model railway. Contents: -Santa's Express 0-4-0 locomotive -7 Plank Open Wagon (with lots of presents!) -Reindeer Box Van -3rd Radius Starter Oval -Power Track and Track Straight -R8250 Train Controller -P9000 Transformer -Hornby MidiMat (1600 x 1180mm) This item will be supplied with a UK transformer Box Contains 1x Santa's Express 0-4-0 locomotive 7x Plank Open Wagon 1x Reindeer Box Van 1x 3rd Radius Starter Oval 1x Power Track and Track Straight 1xR8250 Train Controller 1x P9000 Transformer 1x Hornby MidiMat (1600 x 1180mm)"
generate description: Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,Western Express Digital Train Set with eLink and TTS sound loco Set Hornby R1184
generate description: Learning Curve Chuggington Interactive Chatsworth,"Product Description An amazingly Interactive Chuggington World! Chuggington Interactive Chatsworth instantly recognises and ""magically"" talks to any other engine, training stop and set accessories. This engine has over 60 sounds and phrases (when used with other Chuggington interactive products). Featuring the actual voice from the Chuggington show. Each Interactive talking engine features Smart Talk technology which enables them to instantly recognise any other engine, react to any train stop and respond to your play! Chuggington Interactive is a magical open ended play system featuring iconic destinations and characters from the BBC's CBeebies top rated preschool show Chuggington. Chatsworth is a very proper engine who lives next door to Harrison in the upper level of the roundhouse. Chatsworth is honest, good mannered, polite and considerate of others, however he considers himself as the upper crust of Chuggington. On time, clean and in fine repair, Chatsworth always presents his best wheel forward, as first impressions are very important to him. Engines recognise and ""magically"" talk to each other, training stops and set accessories. Requires 2 x AA batteries (included). Box Contains 1 x Interactive Chatsworth engine"
generate description: Hornby Gauge Railroad Mosley Tarmacadam Locomotive,Product Description RailRoad 0-4-0 'Hogarth Stone' Ex-SR Box Contains 1x Locomotive
generate description: Kato (USA) 176-1308 F3B Denver & Rio Grande Western,Suitable for the following scale(s): N Scale
generate description: Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,Suitable for the following scale(s): OO Scale
generate description: Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,"Product Description Hornby Weathered DCC Ready 00 Gauge Paviland Grange steam locomotive train model. Its features: Sprung buffers, sliding cab roof hatch, NEM couplings, tender detail. Class: grange, designer: C.B. collett, entered service: 1936, number built: 80, purpose: mixed traffic, wheel configuration: 4-6-0, length: 253mm, motor: 5 pole skew wound. loco drive, DCC ready, livery: BR (late), finish: heavily weathered Box Contains 1x Train Model"
generate description: Kato 3060-2 EF65 500 (F Model) Electric Locomotive,Suitable for the following scale(s): N Scale
generate description: Glacier Express of N gauge 10-1219 Alps [UNESCO paint color] 7 Car Set,From 8-year-old: AgeTarget Gender: BoysFrom 8-year-old: AgeThe main production country: JapanTarget Gender: Boys
generate description: Power Trains Freight Industrial (Pack of 4),"Product Description 4 collectible cars that are perfect for any POWER TRAINS collection! Completely compatible, works on all track and with all engines! Box Contains 4 collectible carriages"
