strategy_name,industry,growth_rate,trending_week,strategy_id
AI-Driven Affiliate Marketing Strategy,Non spécifié,0.0,4,1
NextGen Video Marketing Engagement,Non spécifié,0.0,4,3
Advanced Community Marketing Campaign,Non spécifié,0.0,4,2
Marketing Automation-Powered SMS for Budget-Conscious,Legal,0.0,4,4
Evergreen Webinar Nurturing Campaign,Finance,0.0,4,5
Automation-Based Food & Beverage Marketing,Fitness,33.4,6,6
Personalization-Based Beauty Marketing,Automotive,36.5,4,7
Quarterly Budget-Conscious Retention Strategy,Hospitality,1.1,6,8
Analytics-Powered YouTube for Decision Makers,Technology,15.8,11,9
ROI-Focused Education Podcast,Retail,22.6,6,10
Strategic IoT Integration for SEO,B2B,44.0,8,11
IoT-Based Luxury Marketing,Manufacturing,2.8,8,12
Data-Driven SMS Acquisition,Food & Beverage,46.9,3,13
ROI-Focused Finance Live Stream,Education,7.5,3,14
Video Whitepaper for Manufacturing Businesses,Fashion,49.8,6,15
Fashion-Focused Email Strategy,Real Estate,-7.9,8,16
Targeted Template Marketing for Professionals,Non-Profit,16.6,5,17
Engaging Template Promotion Strategy,Home Services,24.5,7,18
Cross-Platform Testimonial Conversion,Luxury,18.0,7,19
Cross-Platform Template Expansion,Media,11.7,10,20
Cross-Platform Whitepaper Campaign,Media,17.4,1,21
AR/VR-Based Fashion Marketing,Legal,22.1,6,22
Omnichannel Tutorial Marketing for International,B2B,6.8,5,23
Long-term Startups Retention Strategy,Luxury,39.4,11,24
Quarterly PPC Outreach Campaign,Luxury,4.0,9,25
Viral Marketing Automation Integration for Community,Hospitality,3.3,4,26
Cross-Platform Infographic Marketing,Beauty,4.4,11,27
Dynamic Automotive Community Approach,Retail,7.1,2,28
Viral B2B Engagement via PPC,Education,11.5,11,29
Cross-Platform Review Branding,Legal,-1.6,11,30
Interactive Story Campaign Strategy,Fashion,35.6,7,31
PPC eBook for Construction Businesses,Food & Beverage,24.5,7,32
Cross-Platform Infographic Promotion,Food & Beverage,6.2,2,33
Personalized IoT Integration for Social Media,SaaS,8.5,8,34
Data-Driven Influencer Positioning,B2B,2.2,2,35
SMS Podcast for Real Estate Businesses,Finance,2.1,5,36
Engaging Personalization Integration for Influencer,B2B,38.3,10,37
PR Template for Food & Beverage Businesses,Beauty,1.5,11,38
AI-Powered Food & Beverage Email Approach,B2B,16.2,9,39
Interactive Retail Blog Approach,Media,4.8,7,40
Long-term Affiliate Strategy Campaign,Professional Services,-1.9,10,41
Cost-Effective Template Marketing for Executives,Technology,23.1,5,42
Sustained Blog Retention Campaign,Construction,11.0,3,43
Automated Blockchain Integration for Community,Fitness,3.1,4,44
Scheduled Students Retention Strategy,Luxury,8.2,2,45
Sustained Organic Social Conversion Campaign,Finance,10.1,4,46
Always-On Podcast Growth Campaign,Travel,10.7,3,47
Automated Construction Organic Social Approach,Hospitality,17.1,12,48
Personalized Fashion Affiliate Approach,Hospitality,37.8,5,49
Professional Services-Focused SMS Strategy,Healthcare,6.7,6,50
30-Day Content Strategy Campaign,Luxury,40.5,9,51
Data-Driven Organic Social Expansion,Real Estate,1.9,9,52
Omnichannel Guide Marketing for Parents,Beauty,20.1,5,53
AR/VR-Powered Community for Startups,SaaS,9.5,8,54
Innovative 5G Integration for Podcast,Healthcare,10.6,3,55
