product_id,product_name,category,price,target_demographic,seasonality,product_age_months,growth_potential,current_trend_value,social_mentions_weekly,search_volume_weekly
1,Professional Knife Set by GourmetBasics,Kitchen,373.83,"Children, Professionals",1,5,37,70,308,607
2,Premium Sketchbook by CreativeSpirit,Art Supplies,40.3,Parents,1,19,92,90,277,574
3,Handcrafted Candle by CraftedLife,Handmade,177.86,"Men, Students, Children",1,30,50,29,63,151
4,Eco-Friendly Clay Kit by CreativeSpirit,Art Supplies,99.01,Women,5,7,45,32,94,287
5,Compact Treats by HappyPets,Pet Supplies,82.08,"Young Adults, Professionals",1,24,29,44,98,345
6,Modern Jewelry by CraftedJoy,Handmade,206.61,"Families, Children",5,23,41,81,153,197
7,Compact Massager by VitalWell,Health,20.79,Young Adults,1,16,49,88,293,393
8,Professional Bowl by PetComfort,Pet Supplies,7.42,"Teenagers, Parents, Women",3,1,19,77,109,615
9,Durable Jacket by ModernChic,Clothing,27.4,Professionals,3,22,56,78,357,769
10,Lightweight First Aid Kit by VitalWell,Health,42.32,"Seniors, Young Adults, Children",4,36,36,100,441,435
11,Handcrafted Sweater by ModernChic,Clothing,172.36,"Parents, Students",4,22,97,78,141,487
12,Handcrafted Speaker by TechPro,Electronics,458.8,"Professionals, Children",4,16,44,66,124,512
13,Modern Vase by CozyNest,Home Decor,25.93,Seniors,3,22,90,59,128,498
14,Portable Spices by CulinaryJoy,Food & Beverage,41.08,"Children, Teenagers",1,26,65,76,146,719
15,Handcrafted Essential Oils by WellnessDaily,Health,55.54,"Children, Parents",5,13,93,38,132,82
16,Budget Pet Bed by PetLove,Pet Supplies,89.22,Men,5,2,49,24,113,126
17,Professional Essential Oils by PureHealth,Health,67.47,"Professionals, Parents",3,27,18,82,154,363
18,Portable Storage Containers by CookSmart,Kitchen,234.03,"Young Adults, Parents, Teenagers",3,14,57,37,57,197
19,Organic Coffee by FlavorsDelight,Food & Beverage,10.14,"Teenagers, Professionals, Men",1,26,47,35,119,221
20,Lightweight Craft Kit by CreativePlay,Toys,75.76,"Teenagers, Men",1,9,45,94,345,892
21,Modern Scarf by EcoWear,Clothing,178.38,"Young Adults, Teenagers, Parents",3,18,60,35,58,170
22,Modern Tea by HolisticLife,Health,91.74,Seniors,4,27,40,76,167,168
23,Eco-Friendly Journal by StoryWorld,Books,30.05,Women,5,14,29,54,168,350
24,Handcrafted Mask by LuxeBeauty,Beauty,81.65,"Young Adults, Parents",2,10,13,88,89,187
25,Premium Brush Set by ColorCraft,Art Supplies,47.35,Seniors,5,31,66,31,147,271
26,Premium Dress by UrbanThread,Clothing,162.3,"Children, Professionals, Women",1,12,67,78,223,367
27,Adjustable Bag by FitZone,Fitness,136.71,"Parents, Seniors",3,30,56,57,188,303
28,Portable Action Figure by PlayTime,Toys,36.98,"Teenagers, Seniors, Men",3,36,47,35,112,101
29,Portable Frame by CozyNest,Home Decor,306.39,Women,1,18,17,88,392,449
30,Budget Puzzle by ImagineCraft,Toys,25.27,"Children, Men",4,2,55,68,244,247
31,Compact Vase by NaturalHome,Home Decor,160.14,Parents,2,31,23,36,109,72
32,Organic Backpack by TrailBlazer,Outdoors,223.23,"Parents, Young Adults, Men",2,27,20,95,401,293
33,Professional Building Blocks by CreativePlay,Toys,93.63,Parents,4,36,77,100,431,273
34,Premium Wall Art by HandmadeWonder,Handmade,27.61,"Families, Parents, Young Adults",1,10,57,79,281,421
35,Premium Brush Set by BeautyEssence,Beauty,80.66,Children,5,17,43,34,156,290
